23:14:20: Decomposing completed, time elapse: 131.423seconds
23:15:18: Decomposing poses, time elapse: 41.89seconds
23:15:19: Calculating kernel matrix, time elapse: 0.465seconds
23:17:16: Decomposing movements and ethograms, time elapse: 117.395seconds
23:17:20: Decomposing completed, time elapse: 163.419seconds
23:18:34: Decomposing poses, time elapse: 50.765seconds
23:18:35: Calculating kernel matrix, time elapse: 0.741seconds
23:22:00: Decomposing movements and ethograms, time elapse: 205.039seconds
23:22:05: Decomposing completed, time elapse: 261.606seconds
23:23:25: Decomposing poses, time elapse: 42.856seconds
23:23:25: Calculating kernel matrix, time elapse: 0.463seconds
23:25:27: Decomposing movements and ethograms, time elapse: 122.113seconds
23:25:32: Decomposing completed, time elapse: 169.881seconds
10:10:04: Decomposing poses, time elapse: 62.951seconds
10:10:05: Calculating kernel matrix, time elapse: 0.736seconds
10:13:49: Decomposing movements and ethograms, time elapse: 224.487seconds
10:13:54: Decomposing completed, time elapse: 293.458seconds
10:15:30: Decomposing poses, time elapse: 62.301seconds
10:15:31: Calculating kernel matrix, time elapse: 0.829seconds
10:19:38: Decomposing movements and ethograms, time elapse: 246.216seconds
10:19:48: Decomposing completed, time elapse: 319.698seconds
10:21:29: Decomposing poses, time elapse: 64.87seconds
10:21:30: Calculating kernel matrix, time elapse: 0.816seconds
10:25:21: Decomposing movements and ethograms, time elapse: 230.36seconds
10:25:27: Decomposing completed, time elapse: 302.314seconds
10:27:07: Decomposing poses, time elapse: 65.785seconds
10:27:08: Calculating kernel matrix, time elapse: 0.734seconds
10:30:38: Decomposing movements and ethograms, time elapse: 209.952seconds
10:30:43: Decomposing completed, time elapse: 281.767seconds
10:32:19: Decomposing poses, time elapse: 64.01seconds
10:32:20: Calculating kernel matrix, time elapse: 1.09seconds
10:37:37: Decomposing movements and ethograms, time elapse: 316.809seconds
10:37:48: Decomposing completed, time elapse: 392.913seconds
10:39:39: Decomposing poses, time elapse: 63.517seconds
10:39:40: Calculating kernel matrix, time elapse: 0.544seconds
10:42:02: Decomposing movements and ethograms, time elapse: 142.73seconds
10:42:08: Decomposing completed, time elapse: 212.211seconds
10:43:31: Decomposing poses, time elapse: 59.323seconds
10:43:31: Calculating kernel matrix, time elapse: 0.584seconds
10:46:24: Decomposing movements and ethograms, time elapse: 172.947seconds
10:46:31: Decomposing completed, time elapse: 239.959seconds
10:48:04: Decomposing poses, time elapse: 65.059seconds
10:48:05: Calculating kernel matrix, time elapse: 0.43seconds
10:50:03: Decomposing movements and ethograms, time elapse: 118.182seconds
10:50:07: Decomposing completed, time elapse: 187.497seconds
10:51:23: Decomposing poses, time elapse: 55.46seconds
10:51:23: Calculating kernel matrix, time elapse: 0.537seconds
10:53:53: Decomposing movements and ethograms, time elapse: 149.786seconds
10:53:58: Decomposing completed, time elapse: 210.396seconds
10:55:23: Decomposing poses, time elapse: 60.791seconds
10:55:24: Calculating kernel matrix, time elapse: 0.788seconds
10:59:08: Decomposing movements and ethograms, time elapse: 223.735seconds
10:59:13: Decomposing completed, time elapse: 290.313seconds
11:00:51: Decomposing poses, time elapse: 63.854seconds
11:00:52: Calculating kernel matrix, time elapse: 0.33seconds
11:02:22: Decomposing movements and ethograms, time elapse: 90.815seconds
11:02:27: Decomposing completed, time elapse: 159.371seconds
11:03:43: Decomposing poses, time elapse: 59.993seconds
11:03:43: Calculating kernel matrix, time elapse: 0.445seconds
11:05:46: Decomposing movements and ethograms, time elapse: 122.36seconds
11:05:50: Decomposing completed, time elapse: 187.418seconds
11:07:24: Decomposing poses, time elapse: 73.32seconds
11:07:26: Calculating kernel matrix, time elapse: 1.061seconds
11:12:36: Decomposing movements and ethograms, time elapse: 310.558seconds
11:12:45: Decomposing completed, time elapse: 393.5seconds
11:14:37: Decomposing poses, time elapse: 68.228seconds
11:14:38: Calculating kernel matrix, time elapse: 0.915seconds
11:19:02: Decomposing movements and ethograms, time elapse: 264.145seconds
11:19:10: Decomposing completed, time elapse: 340.524seconds
11:20:52: Decomposing poses, time elapse: 64.157seconds
11:20:53: Calculating kernel matrix, time elapse: 0.897seconds
11:25:16: Decomposing movements and ethograms, time elapse: 263.016seconds
11:25:24: Decomposing completed, time elapse: 336.817seconds
11:27:09: Decomposing poses, time elapse: 67.018seconds
11:27:10: Calculating kernel matrix, time elapse: 0.848seconds
11:31:19: Decomposing movements and ethograms, time elapse: 248.836seconds
11:31:24: Decomposing completed, time elapse: 322.22seconds
11:32:58: Decomposing poses, time elapse: 57.174seconds
11:32:59: Calculating kernel matrix, time elapse: 0.518seconds
11:35:21: Decomposing movements and ethograms, time elapse: 142.237seconds
11:35:26: Decomposing completed, time elapse: 205.617seconds
11:36:57: Decomposing poses, time elapse: 67.694seconds
11:36:58: Calculating kernel matrix, time elapse: 0.68seconds
11:40:14: Decomposing movements and ethograms, time elapse: 196.516seconds
11:40:19: Decomposing completed, time elapse: 269.483seconds
11:41:58: Decomposing poses, time elapse: 67.074seconds
11:41:58: Calculating kernel matrix, time elapse: 0.644seconds
11:45:00: Decomposing movements and ethograms, time elapse: 181.899seconds
11:45:05: Decomposing completed, time elapse: 254.646seconds
11:47:03: Decomposing poses, time elapse: 88.187seconds
11:47:04: Calculating kernel matrix, time elapse: 0.67seconds
11:50:19: Decomposing movements and ethograms, time elapse: 195.014seconds
11:50:24: Decomposing completed, time elapse: 289.18seconds
11:52:08: Decomposing poses, time elapse: 71.725seconds
11:52:09: Calculating kernel matrix, time elapse: 1.141seconds
11:57:37: Decomposing movements and ethograms, time elapse: 328.283seconds
11:57:44: Decomposing completed, time elapse: 408.102seconds
11:59:45: Decomposing poses, time elapse: 74.817seconds
11:59:46: Calculating kernel matrix, time elapse: 1.03seconds
12:04:49: Decomposing movements and ethograms, time elapse: 303.209seconds
12:04:55: Decomposing completed, time elapse: 385.136seconds
12:06:41: Decomposing poses, time elapse: 63.821seconds
12:06:42: Calculating kernel matrix, time elapse: 0.815seconds
